    BAGPUMP1         BAGPUMP2         BAGPUMP3       BAGPUMP4          BAGPUMP5         BAGPUMP6           BAGPUMP7       BAGPUMP8         BAGPUMP9

  0.728 -0.233     0.640 -0.292     0.556 -0.142    0.656 -0.303    -0.418 -1.056     -1.314 -1.465       0.88 -0.29     0.56  -0.55    1.00  1.00   
  0.703 -0.174     0.629 -0.187     0.546 -0.091    0.649 -0.244    -0.304 -0.870     -1.089 -1.253       0.90 -0.23     0.61  -0.43    1.00  1.00   
  0.671 -0.109     0.613 -0.105     0.535 -0.038    0.639 -0.169    -0.181 -0.677     -0.914 -1.038       0.91 -0.16     0.67  -0.33    1.00  1.00   
  0.635 -0.037     0.595 -0.053     0.525  0.016    0.628 -0.069    -0.078 -0.573     -0.760 -0.921       0.92 -0.10     0.70  -0.24    1.00  1.00   
  0.592  0.037     0.575 -0.012     0.516  0.074    0.613  0.040    -0.011 -0.518     -0.601 -0.739       0.93 -0.03     0.72  -0.13    1.00  1.00   
  0.543  0.101     0.552  0.042     0.507  0.137    0.596  0.140     0.032 -0.330     -0.440 -0.632       0.95  0.04     0.73  -0.04    1.00  1.00   
  0.491  0.161     0.533  0.097     0.500  0.205    0.581  0.240     0.074 -0.238     -0.284 -0.457       0.96  0.10     0.73   0.00    1.00  1.00   
  0.453  0.210     0.516  0.156     0.502  0.283    0.600  0.336     0.130 -0.160     -0.130 -0.300       0.94  0.18     0.72   0.10    1.00  1.00   
  0.420  0.250     0.505  0.227     0.510  0.370    0.640  0.430     0.190  0.000      0.055 -0.075       0.90  0.25     0.71   0.16    1.00  1.00   
  0.403  0.299     0.504  0.300     0.524  0.465    0.690  0.570     0.265  0.118      0.222  0.052       0.85  0.32     0.72   0.22    1.00  1.00   
  0.399  0.350     0.510  0.371     0.545  0.568    0.755  0.742     0.363  0.308      0.357  0.234       0.80  0.40     0.75   0.29    1.00  1.00   
  0.403  0.405     0.512  0.444     0.580  0.670    0.817  0.875     0.461  0.442      0.498  0.425       0.78  0.48     0.71   0.35    1.00  1.00   
  0.413  0.465     0.522  0.522     0.627  0.770    0.876  0.970     0.553  0.574      0.616  0.558       0.88  0.56     0.68   0.42    1.00  1.00   
  0.436  0.515     0.539  0.596     0.676  0.863    0.941  1.063     0.674  0.739      0.675  0.630       1.06  0.63     0.69   0.50    1.00  1.00   
  0.472  0.547     0.559  0.672     0.716  0.945    1.013  1.173     0.848  0.929      0.680  0.621       1.16  0.69     0.74   0.57    1.00  1.00   
  0.518  0.574     0.580  0.738     0.755  1.016    1.086  1.273     1.075  1.147      0.691  0.546       1.27  0.76     0.81   0.66    1.00  1.00   
  0.567  0.610     0.601  0.763     0.792  1.073    1.146  1.341     1.337  1.370      0.752  0.525       1.36  0.81     0.84   0.69    1.00  1.00   
  0.620  0.647     0.630  0.797     0.827  1.119    1.199  1.377     1.629  1.599      0.825  0.488       1.31  0.80     0.83   0.67    1.00  1.00   
  0.674  0.684     0.662  0.837     0.864  1.159    1.240  1.326     1.929  1.839      0.930  0.512       1.26  0.74     0.83   0.66    1.00  1.00   
  0.730  0.720     0.692  0.865     0.900  1.190    1.270  1.210     2.180  2.080      1.080  0.660       1.33  0.74     0.89   0.69    1.00  1.00   
  0.788  0.727     0.722  0.883     0.936  1.210    1.287  1.172     2.334  2.300      1.236  0.850       1.44  0.79     1.00   0.74    1.00  1.00   
  0.848  0.715     0.753  0.886     0.973  1.219    1.291  1.160     2.518  2.480      1.389  1.014       1.58  0.90     1.10   0.82    1.00  1.00   
  0.905  0.706     0.782  0.877     0.999  1.211    1.294  1.157     2.729  2.630      1.548  1.162       1.63  0.95     1.21   0.87    1.00  1.00   
  0.959  0.702     0.808  0.859     1.016  1.185    1.295  1.164     2.863  2.724      1.727  1.334       1.60  0.89     1.31   0.89    1.00  1.00   
  1.009  0.692     0.832  0.838     1.027  1.137    1.300  1.173     2.948  2.687      1.919  1.512       1.51  0.66     1.38   0.89    1.00  1.00   
  1.050  0.674     0.857  0.804     1.037  1.065    1.311  1.177     3.026  2.715      2.066  1.686       1.44  0.50     1.34   0.86    1.00  1.00   
  1.097  0.647     0.879  0.758     1.041  0.983    1.318  1.179     3.015  2.688      2.252  1.886       1.51  0.43     1.38   0.81    1.00  1.00   
  1.138  0.609     0.904  0.703     1.042  0.916    1.302  1.171     2.927  2.555      2.490  2.105       1.66  0.39     1.57   0.71    1.00  1.00   
  1.175  0.560     0.930  0.645     1.040  0.850    1.278  1.157     2.873  2.434      2.727  2.325       1.76  0.38     1.77   0.62    1.00  1.00   
  1.190  0.504     0.959  0.583     1.036  0.773    1.269  1.141     2.771  2.288      3.002  2.580       1.84  0.36     1.92   0.58    1.00  1.00   
  1.190  0.440     0.996  0.520     1.030  0.690    1.265  1.120     2.640  2.110      3.225  2.770       1.96  0.35     2.02   0.57    1.00  1.00   
  1.196  0.381     1.027  0.454     1.032  0.615    1.275  1.102     2.497  1.948      3.355  2.886       2.00  0.34     2.10   0.58    1.00  1.00   
  1.200  0.322     1.060  0.408     1.038  0.544    1.295  1.084     2.441  1.825      3.475  2.959       2.07  0.33     2.19   0.59    1.00  1.00   
  1.204  0.280     1.090  0.370     1.049  0.484    1.361  1.068     2.378  1.732      3.562  2.979       2.11  0.32     2.26   0.58    1.00  1.00   
  1.208  0.256     1.124  0.343     1.063  0.436    1.474  1.055     2.336  1.644      3.604  2.962       2.13  0.32     2.37   0.58    1.00  1.00   
  1.213  0.241     1.165  0.331     1.080  0.395    1.556  1.038     2.288  1.576      3.582  2.877       2.11  0.32     2.46   0.61    1.00  1.00   
  1.217  0.231     1.204  0.329     1.098  0.359    1.565  1.016     2.209  1.533      3.540  2.713       2.05  0.31     2.52   0.62    1.00  1.00   
  1.220  0.231     1.238  0.338     1.116  0.332    1.550  0.983     2.162  1.522      3.477  2.556       2.02  0.33     2.51   0.65    1.00  1.00   
  1.226  0.238     1.258  0.354     1.130  0.320    1.550  0.933     2.140  1.519      3.321  2.403       2.11  0.38     2.47   0.67    1.00  1.00   
  1.231  0.253     1.271  0.372     1.142  0.321    1.540  0.872     2.109  1.523      3.143  2.237       2.07  0.44     2.40   0.70    1.00  1.00   
  1.240  0.274     1.282  0.405     1.148  0.330    1.522  0.836     2.054  1.523      2.962  2.080       1.98  0.51     2.31   0.73    1.00  1.00   
  1.250  0.300     1.288  0.450     1.150  0.350    1.500  0.810     1.970  1.490      2.750  1.950       1.83  0.57     2.19   0.75    1.00  1.00   
